brand,name,price,currency,merchant,deepLink,volumeMl,inStock
"Mugler","Alien EDT 100ml for men",20.00,USD,Merchant0,https://example.com/mugler-alien,100,true
"Mugler","Angel Eau de Parfum 3.4 oz spray",32.50,USD,Merchant1,https://example.com/mugler-angel,100,true
"Dolce Gabbana","Light Blue EDP 50ml",45.00,USD,Merchant2,https://example.com/dolce-gabbana-light-blue,100,true
"Chanel","Coco Mademoiselle",57.50,USD,Merchant0,https://example.com/chanel-coco-mademoiselle,100,true
"Lancome","La Vie Est Belle EDT 100ml for men",70.00,USD,Merchant1,https://example.com/lancome-la-vie-est-belle,100,true
"Tom Ford","Black Orchid Eau de Parfum 3.4 oz spray",82.50,USD,Merchant2,https://example.com/tom-ford-black-orchid,100,true
"Yves Saint Laurent","Black Opium EDP 50ml",95.00,USD,Merchant0,https://example.com/yves-saint-laurent-black-opium,100,true
"Dior","Hypnotic Poison",107.50,USD,Merchant1,https://example.com/dior-hypnotic-poison,100,true
"Dior","J Adore EDT 100ml for men",120.00,USD,Merchant2,https://example.com/dior-j-adore,100,true
"Dior","Sauvage Eau de Parfum 3.4 oz spray",132.50,USD,Merchant0,https://example.com/dior-sauvage,100,true
"Tom Ford","Tobacco Vanille EDP 50ml",145.00,USD,Merchant1,https://example.com/tom-ford-tobacco-vanille,100,true
"Hermes","Terre D Hermes",157.50,USD,Merchant2,https://example.com/hermes-terre-d-hermes,100,true
"Versace","Crystal Noir EDT 100ml for men",170.00,USD,Merchant0,https://example.com/versace-crystal-noir,100,true
"Versace","Eros Eau de Parfum 3.4 oz spray",182.50,USD,Merchant1,https://example.com/versace-eros,100,true
"Calvin Klein","Euphoria EDP 50ml",195.00,USD,Merchant2,https://example.com/calvin-klein-euphoria,100,true
"Maison Francis Kurkdjian","Baccarat Rouge 540",20.00,USD,Merchant0,https://example.com/maison-francis-kurkdjian-baccarat-rouge-540,100,true
"Versace","Bright Crystal EDT 100ml for men",32.50,USD,Merchant1,https://example.com/versace-bright-crystal,100,true
"Chloe","Chloe Eau de Parfum Eau de Parfum 3.4 oz spray",45.00,USD,Merchant2,https://example.com/chloe-chloe-eau-de-parfum,100,true
"Creed","Aventus EDP 50ml",57.50,USD,Merchant0,https://example.com/creed-aventus,100,true
"Yves Saint Laurent","La Nuit de L Homme",70.00,USD,Merchant1,https://example.com/yves-saint-laurent-la-nuit-de-l-homme,100,true
"Lalique","Encre Noire EDT 100ml for men",82.50,USD,Merchant2,https://example.com/lalique-encre-noire,100,true
"Jean Paul Gaultier","Le Male Eau de Parfum 3.4 oz spray",95.00,USD,Merchant0,https://example.com/jean-paul-gaultier-le-male,100,true
"Dior","Fahrenheit EDP 50ml",107.50,USD,Merchant1,https://example.com/dior-fahrenheit,100,true
"Dior","Dior Homme Intense 2011",120.00,USD,Merchant2,https://example.com/dior-dior-homme-intense-2011,100,true
"Viktor Rolf","Flowerbomb EDT 100ml for men",132.50,USD,Merchant0,https://example.com/viktor-rolf-flowerbomb,100,true
"Narciso Rodriguez","Narciso Rodriguez for Her Eau de Parfum 3.4 oz spray",145.00,USD,Merchant1,https://example.com/narciso-rodriguez-narciso-rodriguez-for-her,100,true
"Chanel","Bleu de Chanel EDP 50ml",157.50,USD,Merchant2,https://example.com/chanel-bleu-de-chanel,100,true
"Carolina Herrera","Good Girl",170.00,USD,Merchant0,https://example.com/carolina-herrera-good-girl,100,true
"Dolce Gabbana","D G Anthology L Imperatrice 3 EDT 100ml for men",182.50,USD,Merchant1,https://example.com/dolce-gabbana-d-g-anthology-l-imperatrice-3,100,true
"Giorgio Armani","Si Eau de Parfum 3.4 oz spray",195.00,USD,Merchant2,https://example.com/giorgio-armani-si,100,true
"Chanel","Chance Eau Tendre EDP 50ml",20.00,USD,Merchant0,https://example.com/chanel-chance-eau-tendre,100,true
"Calvin Klein","Ck One",32.50,USD,Merchant1,https://example.com/calvin-klein-ck-one,100,true
"Armaf","Club de Nuit Intense Man EDT 100ml for men",45.00,USD,Merchant2,https://example.com/armaf-club-de-nuit-intense-man,100,true
"Guerlain","Shalimar Eau de Parfum Eau de Parfum 3.4 oz spray",57.50,USD,Merchant0,https://example.com/guerlain-shalimar-eau-de-parfum,100,true
"Versace","Versace Pour Homme EDP 50ml",70.00,USD,Merchant1,https://example.com/versace-versace-pour-homme,100,true
"Versace","Versace Pour Homme Dylan Blue",82.50,USD,Merchant2,https://example.com/versace-versace-pour-homme-dylan-blue,100,true
"Dior","Pure Poison EDT 100ml for men",95.00,USD,Merchant0,https://example.com/dior-pure-poison,100,true
"Dolce Gabbana","The One Eau de Parfum 3.4 oz spray",107.50,USD,Merchant1,https://example.com/dolce-gabbana-the-one,100,true
"Lolita Lempicka","Lolita Lempicka EDP 50ml",120.00,USD,Merchant2,https://example.com/lolita-lempicka-lolita-lempicka,100,true
"Maison Martin Margiela","By The Fireplace",132.50,USD,Merchant0,https://example.com/maison-martin-margiela-by-the-fireplace,100,true
"Prada","Prada Candy EDT 100ml for men",145.00,USD,Merchant1,https://example.com/prada-prada-candy,100,true
"Yves Saint Laurent","Y Eau de Parfum Eau de Parfum 3.4 oz spray",157.50,USD,Merchant2,https://example.com/yves-saint-laurent-y-eau-de-parfum,100,true
"Donna Karan","Dkny Be Delicious EDP 50ml",170.00,USD,Merchant0,https://example.com/donna-karan-dkny-be-delicious,100,true
"Dior","Poison",182.50,USD,Merchant1,https://example.com/dior-poison,100,true
"Giorgio Armani","Acqua Di Gioia EDT 100ml for men",195.00,USD,Merchant2,https://example.com/giorgio-armani-acqua-di-gioia,100,true
"Dior","Dior Addict Eau de Parfum 3.4 oz spray",20.00,USD,Merchant0,https://example.com/dior-dior-addict,100,true
"Yves Saint Laurent","Libre EDP 50ml",32.50,USD,Merchant1,https://example.com/yves-saint-laurent-libre,100,true
"Issey Miyake","L Eau D Issey Pour Homme",45.00,USD,Merchant2,https://example.com/issey-miyake-l-eau-d-issey-pour-homme,100,true
"Lancome","Hypnose EDT 100ml for men",57.50,USD,Merchant0,https://example.com/lancome-hypnose,100,true
"Giorgio Armani","Acqua Di Gio Profumo Eau de Parfum 3.4 oz spray",70.00,USD,Merchant1,https://example.com/giorgio-armani-acqua-di-gio-profumo,100,true
"Chanel","Chance Eau Fraiche EDP 50ml",82.50,USD,Merchant2,https://example.com/chanel-chance-eau-fraiche,100,true
"Nina Ricci","Nina",95.00,USD,Merchant0,https://example.com/nina-ricci-nina,100,true
"Kenzo","Flower By Kenzo EDT 100ml for men",107.50,USD,Merchant1,https://example.com/kenzo-flower-by-kenzo,100,true
"Britney Spears","Fantasy Eau de Parfum 3.4 oz spray",120.00,USD,Merchant2,https://example.com/britney-spears-fantasy,100,true
"Giorgio Armani","Armani Code for Women EDP 50ml",132.50,USD,Merchant0,https://example.com/giorgio-armani-armani-code-for-women,100,true
"Guerlain","Mon Guerlain",145.00,USD,Merchant1,https://example.com/guerlain-mon-guerlain,100,true
"Chanel","Bleu de Chanel Eau de Parfum EDT 100ml for men",157.50,USD,Merchant2,https://example.com/chanel-bleu-de-chanel-eau-de-parfum,100,true
"Jean Paul Gaultier","Le Male le Parfum Eau de Parfum 3.4 oz spray",170.00,USD,Merchant0,https://example.com/jean-paul-gaultier-le-male-le-parfum,100,true
"Aquolina","Pink Sugar EDP 50ml",182.50,USD,Merchant1,https://example.com/aquolina-pink-sugar,100,true
"Lancome","Miracle",195.00,USD,Merchant2,https://example.com/lancome-miracle,100,true
"Chanel","Chanel No 5 Parfum EDT 100ml for men",20.00,USD,Merchant0,https://example.com/chanel-chanel-no-5-parfum,100,true
"Versace","Versace Man Eau Fraiche Eau de Parfum 3.4 oz spray",32.50,USD,Merchant1,https://example.com/versace-versace-man-eau-fraiche,100,true
"Cacharel","Amor Amor EDP 50ml",45.00,USD,Merchant2,https://example.com/cacharel-amor-amor,100,true
"Paco Rabanne","Lady Million",57.50,USD,Merchant0,https://example.com/paco-rabanne-lady-million,100,true
"Elizabeth Arden","Green Tea EDT 100ml for men",70.00,USD,Merchant1,https://example.com/elizabeth-arden-green-tea,100,true
"Ariana Grande","Cloud Eau de Parfum 3.4 oz spray",82.50,USD,Merchant2,https://example.com/ariana-grande-cloud,100,true
"Hermes","Un Jardin Sur le Nil EDP 50ml",95.00,USD,Merchant0,https://example.com/hermes-un-jardin-sur-le-nil,100,true
"Jean Paul Gaultier","Ultra Male",107.50,USD,Merchant1,https://example.com/jean-paul-gaultier-ultra-male,100,true
"Kenzo","Kenzo Jungle L Elephant EDT 100ml for men",120.00,USD,Merchant2,https://example.com/kenzo-kenzo-jungle-l-elephant,100,true
"Dolce Gabbana","The One for Men Eau de Parfum 3.4 oz spray",132.50,USD,Merchant0,https://example.com/dolce-gabbana-the-one-for-men,100,true
"Chanel","Allure Homme Sport EDP 50ml",145.00,USD,Merchant1,https://example.com/chanel-allure-homme-sport,100,true
"Chanel","Coco Eau de Parfum",157.50,USD,Merchant2,https://example.com/chanel-coco-eau-de-parfum,100,true
"Nautica","Nautica Voyage EDT 100ml for men",170.00,USD,Merchant0,https://example.com/nautica-nautica-voyage,100,true
"Paco Rabanne","Olympea Eau de Parfum 3.4 oz spray",182.50,USD,Merchant1,https://example.com/paco-rabanne-olympea,100,true
"Dior","Dune EDP 50ml",195.00,USD,Merchant2,https://example.com/dior-dune,100,true
"By Kilian","Angels Share",20.00,USD,Merchant0,https://example.com/by-kilian-angels-share,100,true
"Lancome","Tresor EDT 100ml for men",32.50,USD,Merchant1,https://example.com/lancome-tresor,100,true
"Givenchy","Ange Ou Demon Eau de Parfum 3.4 oz spray",45.00,USD,Merchant2,https://example.com/givenchy-ange-ou-demon,100,true
"Byredo","Bal D Afrique EDP 50ml",57.50,USD,Merchant0,https://example.com/byredo-bal-d-afrique,100,true
"Moschino","Cheap Chic I Love Love",70.00,USD,Merchant1,https://example.com/moschino-cheap-chic-i-love-love,100,true
"Chanel","Chance Eau de Toilette EDT 100ml for men",82.50,USD,Merchant2,https://example.com/chanel-chance-eau-de-toilette,100,true
"Cacharel","Noa Eau de Parfum 3.4 oz spray",95.00,USD,Merchant0,https://example.com/cacharel-noa,100,true
"Lancome","Poeme EDP 50ml",107.50,USD,Merchant1,https://example.com/lancome-poeme,100,true
"Marc Jacobs","Daisy",120.00,USD,Merchant2,https://example.com/marc-jacobs-daisy,100,true
"Narciso Rodriguez","Narciso Rodriguez for Her Eau de Parfum EDT 100ml for men",132.50,USD,Merchant0,https://example.com/narciso-rodriguez-narciso-rodriguez-for-her-eau-de-parfum,100,true
"Maison Martin Margiela","Jazz Club Eau de Parfum 3.4 oz spray",145.00,USD,Merchant1,https://example.com/maison-martin-margiela-jazz-club,100,true
"Viktor Rolf","Spicebomb EDP 50ml",157.50,USD,Merchant2,https://example.com/viktor-rolf-spicebomb,100,true
"Parfums de Marly","Layton",170.00,USD,Merchant0,https://example.com/parfums-de-marly-layton,100,true
"Jean Paul Gaultier","Classique EDT 100ml for men",182.50,USD,Merchant1,https://example.com/jean-paul-gaultier-classique,100,true
"Tom Ford","Lost Cherry Eau de Parfum 3.4 oz spray",195.00,USD,Merchant2,https://example.com/tom-ford-lost-cherry,100,true
"Dolce Gabbana","The One for Men Eau de Parfum EDP 50ml",20.00,USD,Merchant0,https://example.com/dolce-gabbana-the-one-for-men-eau-de-parfum,100,true
"Juicy Couture","Viva la Juicy",32.50,USD,Merchant1,https://example.com/juicy-couture-viva-la-juicy,100,true
"Tom Ford","Ombre Leather 2018 EDT 100ml for men",45.00,USD,Merchant2,https://example.com/tom-ford-ombre-leather-2018,100,true
"Dior","Sauvage Elixir Eau de Parfum 3.4 oz spray",57.50,USD,Merchant0,https://example.com/dior-sauvage-elixir,100,true
"Lancome","La Nuit Tresor EDP 50ml",70.00,USD,Merchant1,https://example.com/lancome-la-nuit-tresor,100,true
"Prada","Prada L Homme",82.50,USD,Merchant2,https://example.com/prada-prada-l-homme,100,true
"Montblanc","Explorer EDT 100ml for men",95.00,USD,Merchant0,https://example.com/montblanc-explorer,100,true
"Givenchy","L Interdit Eau de Parfum Eau de Parfum 3.4 oz spray",107.50,USD,Merchant1,https://example.com/givenchy-l-interdit-eau-de-parfum,100,true
"Givenchy","Organza EDP 50ml",120.00,USD,Merchant2,https://example.com/givenchy-organza,100,true
"Chanel","Coco Noir",132.50,USD,Merchant0,https://example.com/chanel-coco-noir,100,true
"Hugo Boss","Boss Bottled EDT 100ml for men",145.00,USD,Merchant1,https://example.com/hugo-boss-boss-bottled,100,true
"Paco Rabanne","Invictus Eau de Parfum 3.4 oz spray",157.50,USD,Merchant2,https://example.com/paco-rabanne-invictus,100,true
"Britney Spears","Midnight Fantasy EDP 50ml",170.00,USD,Merchant0,https://example.com/britney-spears-midnight-fantasy,100,true
"Burberry","London for Men",182.50,USD,Merchant1,https://example.com/burberry-london-for-men,100,true
"Jean Paul Gaultier","Le Male Elixir EDT 100ml for men",195.00,USD,Merchant2,https://example.com/jean-paul-gaultier-le-male-elixir,100,true
"Giorgio Armani","Armani Code Eau de Parfum 3.4 oz spray",20.00,USD,Merchant0,https://example.com/giorgio-armani-armani-code,100,true
"Yves Saint Laurent","Cinema EDP 50ml",32.50,USD,Merchant1,https://example.com/yves-saint-laurent-cinema,100,true
"Versace","Versense",45.00,USD,Merchant2,https://example.com/versace-versense,100,true
"Burberry","Burberry Her EDT 100ml for men",57.50,USD,Merchant0,https://example.com/burberry-burberry-her,100,true
"Dior","Dolce Vita Eau de Parfum 3.4 oz spray",70.00,USD,Merchant1,https://example.com/dior-dolce-vita,100,true
"Prada","Infusion D Iris EDP 50ml",82.50,USD,Merchant2,https://example.com/prada-infusion-d-iris,100,true
"Chanel","Egoiste Platinum",95.00,USD,Merchant0,https://example.com/chanel-egoiste-platinum,100,true
"Joop","Joop Homme EDT 100ml for men",107.50,USD,Merchant1,https://example.com/joop-joop-homme,100,true
"Kenzo","Kenzo Amour Eau de Parfum 3.4 oz spray",120.00,USD,Merchant2,https://example.com/kenzo-kenzo-amour,100,true
"Lancome","Tresor Midnight Rose EDP 50ml",132.50,USD,Merchant0,https://example.com/lancome-tresor-midnight-rose,100,true
"Mugler","A Men",145.00,USD,Merchant1,https://example.com/mugler-a-men,100,true
"Yves Saint Laurent","L Homme EDT 100ml for men",157.50,USD,Merchant2,https://example.com/yves-saint-laurent-l-homme,100,true
"Xerjoff","Xj 1861 Naxos Eau de Parfum 3.4 oz spray",170.00,USD,Merchant0,https://example.com/xerjoff-xj-1861-naxos,100,true
"Mancera","Cedrat Boise EDP 50ml",182.50,USD,Merchant1,https://example.com/mancera-cedrat-boise,100,true
"Chanel","Allure Homme Sport Eau Extreme",195.00,USD,Merchant2,https://example.com/chanel-allure-homme-sport-eau-extreme,100,true
"Cacharel","Loulou EDT 100ml for men",20.00,USD,Merchant0,https://example.com/cacharel-loulou,100,true
"Issey Miyake","L Eau D Issey Eau de Parfum 3.4 oz spray",32.50,USD,Merchant1,https://example.com/issey-miyake-l-eau-d-issey,100,true
"Versace","Eros Flame EDP 50ml",45.00,USD,Merchant2,https://example.com/versace-eros-flame,100,true
"Giorgio Armani","Emporio Armani Stronger With You Intensely",57.50,USD,Merchant0,https://example.com/giorgio-armani-emporio-armani-stronger-with-you-intensely,100,true
"Mugler","Aura Mugler EDT 100ml for men",70.00,USD,Merchant1,https://example.com/mugler-aura-mugler,100,true
"Gucci","Gucci Rush Eau de Parfum 3.4 oz spray",82.50,USD,Merchant2,https://example.com/gucci-gucci-rush,100,true
"Lancome","Idole EDP 50ml",95.00,USD,Merchant0,https://example.com/lancome-idole,100,true
"Lacoste Fragrances","Lacoste Pour Femme",107.50,USD,Merchant1,https://example.com/lacoste-fragrances-lacoste-pour-femme,100,true
"Dior","Midnight Poison EDT 100ml for men",120.00,USD,Merchant2,https://example.com/dior-midnight-poison,100,true
"Gucci","Gucci Guilty Eau de Parfum 3.4 oz spray",132.50,USD,Merchant0,https://example.com/gucci-gucci-guilty,100,true
"Bvlgari","Omnia Crystalline EDP 50ml",145.00,USD,Merchant1,https://example.com/bvlgari-omnia-crystalline,100,true
"Dior","Miss Dior Blooming Bouquet",157.50,USD,Merchant2,https://example.com/dior-miss-dior-blooming-bouquet,100,true
"Lattafa","Khamrah EDT 100ml for men",170.00,USD,Merchant0,https://example.com/lattafa-perfumes-khamrah,100,true
"Dior","Sauvage Eau de Parfum Eau de Parfum 3.4 oz spray",182.50,USD,Merchant1,https://example.com/dior-sauvage-eau-de-parfum,100,true
"Giorgio Armani","My Way EDP 50ml",195.00,USD,Merchant2,https://example.com/giorgio-armani-my-way,100,true
"Creed","Green Irish Tweed",20.00,USD,Merchant0,https://example.com/creed-green-irish-tweed,100,true
"Elizabeth Arden","5th Avenue EDT 100ml for men",32.50,USD,Merchant1,https://example.com/elizabeth-arden-5th-avenue,100,true
"Tom Ford","Noir Extreme Eau de Parfum 3.4 oz spray",45.00,USD,Merchant2,https://example.com/tom-ford-noir-extreme,100,true
"Calvin Klein","Obsession EDP 50ml",57.50,USD,Merchant0,https://example.com/calvin-klein-obsession,100,true
"Guerlain","Shalimar Parfum Initial",70.00,USD,Merchant1,https://example.com/guerlain-shalimar-parfum-initial,100,true
"Paco Rabanne","Black Xs for Her EDT 100ml for men",82.50,USD,Merchant2,https://example.com/paco-rabanne-black-xs-for-her,100,true
"Nasomatto","Black Afgano Eau de Parfum 3.4 oz spray",95.00,USD,Merchant0,https://example.com/nasomatto-black-afgano,100,true
"Moschino","Toy Boy EDP 50ml",107.50,USD,Merchant1,https://example.com/moschino-toy-boy,100,true
"Parfums de Marly","Delina",120.00,USD,Merchant2,https://example.com/parfums-de-marly-delina,100,true
"Estee Lauder","Pleasures EDT 100ml for men",132.50,USD,Merchant0,https://example.com/estee-lauder-pleasures,100,true
"Mancera","Red Tobacco Eau de Parfum 3.4 oz spray",145.00,USD,Merchant1,https://example.com/mancera-red-tobacco,100,true
"Davidoff","Cool Water EDP 50ml",157.50,USD,Merchant2,https://example.com/davidoff-cool-water,100,true
"Elie Saab","Le Parfum",170.00,USD,Merchant0,https://example.com/elie-saab-le-parfum,100,true
"Chanel","Chanel No 5 Eau de Parfum EDT 100ml for men",182.50,USD,Merchant1,https://example.com/chanel-chanel-no-5-eau-de-parfum,100,true
"Cacharel","Anais Anais Eau de Parfum 3.4 oz spray",195.00,USD,Merchant2,https://example.com/cacharel-anais-anais,100,true
"Jimmy Choo","Jimmy Choo EDP 50ml",20.00,USD,Merchant0,https://example.com/jimmy-choo-jimmy-choo,100,true
"By Kilian","Love Don T Be Shy",32.50,USD,Merchant1,https://example.com/by-kilian-love-don-t-be-shy,100,true
"Dior","Poison Girl EDT 100ml for men",45.00,USD,Merchant2,https://example.com/dior-poison-girl,100,true
"Tom Ford","Tuscan Leather Eau de Parfum 3.4 oz spray",57.50,USD,Merchant0,https://example.com/tom-ford-tuscan-leather,100,true
"Montale","Intense Cafe EDP 50ml",70.00,USD,Merchant1,https://example.com/montale-intense-cafe,100,true
"Diptyque","Philosykos Eau de Parfum",82.50,USD,Merchant2,https://example.com/diptyque-philosykos-eau-de-parfum,100,true
"Bentley","Bentley for Men Intense EDT 100ml for men",95.00,USD,Merchant0,https://example.com/bentley-bentley-for-men-intense,100,true
"Burberry","Burberry Brit Eau de Parfum 3.4 oz spray",107.50,USD,Merchant1,https://example.com/burberry-burberry-brit,100,true
"Givenchy","Amarige EDP 50ml",120.00,USD,Merchant2,https://example.com/givenchy-amarige,100,true
"Yves Saint Laurent","Opium 1977",132.50,USD,Merchant0,https://example.com/yves-saint-laurent-opium-1977,100,true
"Kenzo","L Eau Par Kenzo EDT 100ml for men",145.00,USD,Merchant1,https://example.com/kenzo-l-eau-par-kenzo,100,true
"Frederic Malle","Portrait of a Lady Eau de Parfum 3.4 oz spray",157.50,USD,Merchant2,https://example.com/frederic-malle-portrait-of-a-lady,100,true
"Bvlgari","Bvlgari Man in Black EDP 50ml",170.00,USD,Merchant0,https://example.com/bvlgari-bvlgari-man-in-black,100,true
